A,X,Y
7.5,0.1305261922,4358.3
7.7,0.1339861854,4471
8.7,0.1512608202,5015
9.5,0.1650476059,5460.7
9.7,0.1684893796,5769.6
9.8,0.1702094992,5790.7
10,0.1736481777,5876
11.7,0.2027872954,6678
12.1,0.2096185629,7065
