A,X,Y
7.4,0.1287955966,4358.3
7.7,0.1339861854,4471
8.7,0.1512608202,5015
9.3,0.1616038211,5460.7
10,0.1736481777,5769.6
10.1,0.1753667261,5790.7
10.3,0.1788022151,5876
11.7,0.2027872954,6678
12.3,0.2130303863,7065
