A,X,Y
7.5,0.1305261922,4358.3
7.6,0.1322563903,4471
8.5,0.1478094111,5015
9.4,0.1633259622,5460.7
10,0.1736481777,5769.6
10.2,0.1770847403,5790.7
10,0.1736481777,5876
11.2,0.1942343512,6678
12,0.2079116908,7065
